"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,4,"ro",719507,729925.029166667,728617.75,23081.6303043585,0.278427068868287,-0.679638437697511,1174493363.64205,1196463936.15039,4.92708494321302,4.91959724396023,0.723097480854823,0.717917624532982
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,5,"ro",800652.17,755849.340625,755380.375,18478.124306804,-0.128051331193152,-0.880031143485478,1341053394.91472,1367078233.42472,5.09304054416746,5.09945281119781,0.817077568094607,0.813527726777142
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,1,"sa",549280,528385.647916667,529015.4375,7852.55437002287,0.14625996199096,-0.305585400561545,436573948.982295,410652493.316406,3.87770587727763,3.75862899818678,-Inf,-Inf
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,2,"sa",620538,540051.566666667,539811.625,11054.7323727011,0.0253752919506506,-0.349788720781732,3457319949.8517,3463700056.97852,8.87381389684376,8.83638788979664,-1.72353089317479,-1.72855687257897
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,3,"sa",685746,551237.658854167,550607.875,14874.2885866249,-0.0209717438014898,-0.20501514378043,8335711245.83577,8396570980.82422,13.1651412540727,13.1778424730558,-1.68386430086994,-1.70345942182348
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,4,"sa",719507,562423.7515625,561404.125,18577.0362641298,-0.0751460519271891,-0.0198108277501254,12420570169.2962,12546558006.4346,16.0006786353856,16.0548824341158,-1.92831554061103,-1.95801885828419
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",60,5,"sa",800652.17,573849.758854167,574899.375,21943.6224672147,-0.297637437664621,0.325013921988096,20224322875.7497,20230111295.2101,19.4008220751745,19.4086267189886,-1.75863909528171,-1.75942864756099
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,1,"ro",549280,530115.041666667,529015.4375,8541.32548542767,0.405127780985524,-0.348895824525088,367295627.918404,410652493.316406,3.55105546968999,3.75862899818678,-Inf,-Inf
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,2,"ro",620538,569130.668055556,568484.4375,9118.63867659599,0.267977323113824,-0.960657299279386,1505004702.78235,1560112931.12891,6.09667473356917,6.25715976578542,-0.185579252674282,-0.228991191559606
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,3,"ro",685746,649747.792361111,648546.8125,15378.2280505465,0.24902096003706,-0.8972532633726,1435293452.92575,1501335137.63932,5.86144844789634,6.03006173711798,0.537875923724665,0.516612360875051
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,4,"ro",719507,722425.560416667,720361.5,21309.4206995092,0.379145715348267,-0.668394227818102,1078599588.42075,1126183895.79199,4.49728941908945,4.55221915143542,0.745705720927615,0.734487084032114
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,5,"ro",800652.17,755789.227083333,752133.75,20604.8222792983,0.437514187840626,-0.679895652546956,1265416400.16542,1371754532.49287,4.75079349068438,4.89161715382029,0.827394609216177,0.81288986999895
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,1,"sa",549280,531734.476041667,529015.4375,9636.24634748501,0.303991856009298,-0.831737651675891,307845410.972448,410652493.316406,3.2461219247645,3.75862899818678,-Inf,-Inf
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,2,"sa",620538,543810.25,543410.375,13981.586427955,0.028434208508128,-0.692769613216801,3097496515.51747,3179661515.72852,8.21282051241378,8.5056930100819,-1.44007716204424,-1.5048032850697
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,3,"sa",685746,555466.182638889,554206.625,18805.2546923593,0.10063222081247,-0.464585146088397,7722607947.5598,7887310068.94922,12.4726644564374,12.7427416163287,-1.48646230283282,-1.53949174817204
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,4,"sa",719507,566802.224305556,563203.4375,23264.7448835889,0.0611031929726474,-0.384355533139292,11621643090.6425,12023183464.2598,15.2902707370601,15.6497626380489,-1.73995779629268,-1.83462630991316
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",90,5,"sa",800652.17,578997.964583333,573999.6875,27677.6984186122,-0.0344093644666466,-0.409405535303073,19123431828.2928,19892816336.0904,18.6586054214401,19.1150067418887,-1.608475299845,-1.71342092376299
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,1,"ro",549280,529456.270625,529015.4375,8929.69587882835,0.336343537811886,-0.524619028035812,392980246.333238,410652493.316406,3.67536160873028,3.75862899818678,-Inf,-Inf
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,2,"ro",620538,567658.9071875,566608.25,8452.80692045685,0.372603372857412,-0.372451469063235,1594589351.50311,1659535214.18945,6.288045259333,6.42212040864329,-0.256150261977504,-0.307311874433339
"pest","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",200,3,"ro",685746,651101.6584375,648546.8125,15930.826431382,0.23710152404742,-0.90638658290239,1463136368.43513,1567616659.67969,5.91969357287009,6.14003549902322,0.52891128894259,0.495271577159645
