"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,4,"ro",128.7307,133.179162445068,132.601547241211,1.73976327631184,0.0359664035451132,-0.755090477581586,11.3424070626939,9.41750543544208,2.33779687601905,2.1552109194076,0.143553066246227,0.288899295430665
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,5,"ro",124.7449,126.401378898621,126.44654083252,2.00026082809044,0.160220765526589,-0.457127362592898,9.62271011847022,8.11312065293322,2.13406444754684,1.99513988436456,0.610494477483397,0.671599241767102
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,1,"sa",138.9813,143.255283050537,143.210052490234,1.82689186290646,0.0128724875117154,-0.709773033140669,18.2669311162785,17.8823476236634,3.02865277374182,2.99708155683524,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,2,"sa",134.6643,142.466371994019,142.707565307617,2.56516876197829,-0.0287895207950005,-0.520630957625722,39.5696292580635,41.2882322161908,4.32963078384756,4.39835374203485,-7.49293646631904,-7.86180486382187
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,3,"sa",134.1667,141.757858734131,141.702575683594,3.20221652692462,0.0447667373934557,-0.0115621447089684,45.5883164809661,46.4552955836538,4.72053507642645,4.75335820924773,-8.75395312521269,-8.9394496335491
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,4,"sa",128.7307,141.12974609375,141.702575683594,4.01426027300058,0.114419489129374,-0.326063375387701,72.6253233694587,76.908861375393,5.83770835494892,5.96336916517185,-4.48382148241081,-4.80726455498987
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,5,"sa",124.7449,140.310685195923,140.697601318359,4.70805400726595,0.00781865496389274,-0.132102610923949,106.558992448689,112.424824970871,7.01922643826191,7.17463610863377,-3.31326679506873,-3.55070241699004
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,1,"ro",138.9813,143.200007873535,142.707565307617,1.71724509124058,0.0675397484585128,-0.532140943444515,17.7974961222275,13.8850531427514,2.99006897751416,2.64566034837616,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,2,"ro",134.6643,137.12508694458,136.7109375,1.83075140545104,0.0984284015227216,-0.887252748210109,11.9264842544217,9.03688909957882,2.40043663570768,2.07700270623423,-1.559813547374,-0.93961193003227
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,3,"ro",134.1667,132.5607449646,132.649185180664,1.93395665196329,0.0152172446712002,-0.543917026443988,8.81068669485704,6.79220980868727,2.00168836341046,1.76383500565598,-0.885110740126841,-0.453242874590606
