"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,1,"sa",3889177.589255,4043621.83055556,4039431.625,173336.385725175,0.216025886111205,-0.733511355335072,23853023670.9042,22576275257.6597,3.89381435549378,3.79017382960067,-Inf,-Inf
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,2,"sa",3887727.161914,4028150.59444444,4039431.625,327681.978610858,0.334932586399202,0.0559418170921466,21785882037.2683,22795259688.9357,3.72085362882301,3.80881751064043,-41422.155922475,-43341.3624883673
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,3,"sa",4278503.93469,4016547.225,3995918.875,408771.349662859,0.695106649786162,1.04490314655322,37397693942.0491,41814945112.624,4.58589433461171,4.81598727643693,-0.106136686555178,-0.23678868828216
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,4,"sa",4076923.618912,4012840.55833333,3974162.5,485375.572731281,0.543708026572181,0.894743465975391,29074930119.8191,34001170724.4795,3.83549571170311,4.2501721721563,-0.118368465601071,-0.307856527086053
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,5,"sa",4394652.127879,3996241.30277778,3981414.625,562563.616735588,0.390033486535085,0.269756581897149,55006181207.4226,61353983336.718,4.96764998447845,5.37355803185994,-0.318610752205575,-0.470780562158367
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,1,"ro",3889177.589255,4039069.06625,4032179.5,169477.612914249,0.023195232365544,-0.688480207278639,22467454875.7427,20449546476.7209,3.78120115349647,3.61054069735036,-Inf,-Inf
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,2,"ro",3887727.161914,3846979.7525,3829164.5,184307.785332822,0.165384594612222,-0.47611230444462,12063903124.8474,11939565923.5872,2.41741316143797,2.56415960719659,-22937.0173508388,-22700.6055651716
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,3,"ro",4278503.93469,3886787.64125,3883777,144993.108148836,0.12882350674479,-0.495445841962873,59189820265.3556,59896161605.6459,4.80983131414786,4.93343180479628,-0.750697028741171,-0.771588960498683
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,4,"ro",4076923.618912,4385009.95875,4379631.5,180980.834788335,0.0125072293410466,-0.410368124239851,68121663397.7106,67830136522.431,5.4277986698223,5.48985631720956,-1.6203027781779,-1.60908918410066
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,5,"ro",4394652.127879,3996466.31625,3988489.25,197939.558391284,0.053106473743625,-0.643541474870341,86207718834.6976,87257765891.3352,6.24036879437556,6.32988351792698,-1.06657547357983,-1.09174725080216
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,1,"sa",3889177.589255,4042622.6175,4032179.5,185004.495905637,0.00831463443917755,-0.87317910126793,23545376693.1089,20449546476.7209,3.86910976689304,3.61054069735036,-Inf,-Inf
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,2,"sa",3887727.161914,4043927.995,4032179.5,327911.227494396,-0.0558321426469139,-0.0626875084801295,23972038474.9347,20658012227.6165,3.90388953045069,3.62918500136492,-45578.861574028,-39277.6511966377
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,3,"sa",4278503.93469,4024782.40125,4003171,415897.869930218,0.194859988680596,0.446651310127784,37439564493.6714,39041416460.0802,4.6397103990889,4.63585964452108,-0.107375119954509,-0.1547541703639
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,4,"sa",4076923.618912,4032034.54125,4024927.375,474392.700325361,0.275503181459642,0.450262659186503,28583430693.5898,29956964690.2992,3.75656975995567,3.79778587265684,-0.0994629185579459,-0.152295964141216
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",200,5,"sa",4394652.127879,4021011.30625,4010423.125,518535.853836294,0.340805069132965,0.349489877582067,50788237272.3907,53491957082.9175,4.78118624792834,4.86678580829478,-0.217498002640935,-0.282311700571864
